1;23519727904369.24;6992741.227127659;False;decre;1;1;0;0
2;11760079780404.705;187634575.76170212;False;decre;1;1;0;0
3;7840054172179.499;333819.22230718087;False;decre;1;1;0;0
4;5880040702524.278;234707.26800199467;False;decre;1;1;0;0
5;4704032651933.304;251807.0239694149;False;decre;1;1;0;0
6;3933050572669.1685;11096200466.51915;False;decre;1;1;0;0
7;3393631374718.945;232881464237.2085;False;decre;1;1;0;0
8;2998800749992.9775;1684121.839893617;False;decre;1;1;0;0
9;2691354793271.071;15606763417.6;False;decre;1;1;0;0
10;2437228581629.716;6117123.042553191;False;decre;1;1;0;0
11;2243696873967.9717;3410266.9292553193;False;decre;1;1;0;0
12;2069927976922.5574;422759.7215757979;False;decre;1;1;0;0
13;1938494282031.8928;1086524134.6723404;False;decre;1;1;0;0
14;1803547249808.1353;35824539586.99574;False;decre;1;1;0;0
1;23519727904369.24;6992741.227127659;False;equal;1;1;0;0
2;11760079780404.705;187634575.76170212;False;equal;1;1;0;0
3;7840054172179.499;333819.22230718087;False;equal;1;1;0;0
4;5880040702524.278;234707.26800199467;False;equal;1;1;0;0
5;4704032651933.304;251807.0239694149;False;equal;1;1;0;0
6;3933050572669.1685;11096200466.51915;False;equal;1;1;0;0
7;3393631374718.945;232881464237.2085;False;equal;1;1;0;0
8;2998800749992.9775;1684121.839893617;False;equal;1;1;0;0
9;2691354793271.071;15606763417.6;False;equal;1;1;0;0
10;2437228581629.716;6117123.042553191;False;equal;1;1;0;0
11;2243696873967.9717;3410266.9292553193;False;equal;1;1;0;0
12;2069927976922.5574;422759.7215757979;False;equal;1;1;0;0
13;1938494282031.8928;1086524134.6723404;False;equal;1;1;0;0
14;1803547249808.1353;35824539586.99574;False;equal;1;1;0;0
1;3814176450159.984;12275401.763829786;False;decre;1;2;0;0
2;1907090352086.1394;450643.3908577128;False;decre;1;2;0;0
3;1271393630812.986;371342.28201462765;False;decre;1;2;0;0
4;1010238639669.6531;1968816772.6297872;False;decre;1;2;0;0
5;856679051156.0879;41474195582.36596;False;decre;1;2;0;0
6;736703012971.616;882305.8215425531;False;decre;1;2;0;0
7;658175288718.1776;10284647477021.412;False;decre;1;2;0;0
8;612766330126.9517;340103.391356383;False;decre;1;2;0;0
9;583858281101.6006;2017907375.387234;False;decre;1;2;0;0
10;525685207829.34515;170184690509.3447;False;decre;1;2;0;0
11;492513843198.7712;757382465440.1362;False;decre;1;2;0;0
12;463832381370.9396;267983124192.4085;False;decre;1;2;0;0
13;443103762401.59265;637177.2740026596;False;decre;1;2;0;0
14;419216244927.8242;1372691.7554521277;False;decre;1;2;0;0
15;398717161326.3633;235723.61944813828;False;decre;1;2;0;0
16;383641276867.00195;454249667.2680851;False;decre;1;2;0;0
17;366879307523.4606;2388400.552393617;False;decre;1;2;0;0
18;355527559592.2192;315626.13101728726;False;decre;1;2;0;0
19;339052811284.004;17888763.63829787;False;decre;1;2;0;0
20;327951072829.92224;24400969.625531916;False;decre;1;2;0;0
21;316755208512.30475;43513760340.970215;False;decre;1;2;0;0
22;305799811875.99915;1415082951.4893618;False;decre;1;2;0;0
23;296319772488.8766;505834.51848404255;False;decre;1;2;0;0
24;287800336186.3827;2352014.6252659573;False;decre;1;2;0;0
25;278975698930.32;15668308.510638298;False;decre;1;2;0;0
1;3814176450159.984;12275401.763829786;False;equal;1;2;0;0
2;1907090352086.1394;450643.3908577128;False;equal;1;2;0;0
3;1271393630812.986;371342.28201462765;False;equal;1;2;0;0
4;1010238639669.6531;1968816772.6297872;False;equal;1;2;0;0
5;856679051156.0879;41474195582.36596;False;equal;1;2;0;0
6;736703012971.616;882305.8215425531;False;equal;1;2;0;0
7;658175288718.1776;10284647477021.412;False;equal;1;2;0;0
8;612766330126.9517;340103.391356383;False;equal;1;2;0;0
9;583858281101.6006;2017907375.387234;False;equal;1;2;0;0
10;525685207829.34515;170184690509.3447;False;equal;1;2;0;0
11;492513843198.7712;757382465440.1362;False;equal;1;2;0;0
12;463832381370.9396;267983124192.4085;False;equal;1;2;0;0
13;443103762401.59265;637177.2740026596;False;equal;1;2;0;0
14;419216244927.8242;1372691.7554521277;False;equal;1;2;0;0
15;398717161326.3633;235723.61944813828;False;equal;1;2;0;0
16;383641276867.00195;454249667.2680851;False;equal;1;2;0;0
17;366879307523.4606;2388400.552393617;False;equal;1;2;0;0
18;355527559592.2192;315626.13101728726;False;equal;1;2;0;0
19;339052811284.004;17888763.63829787;False;equal;1;2;0;0
20;327951072829.92224;24400969.625531916;False;equal;1;2;0;0
21;316755208512.30475;43513760340.970215;False;equal;1;2;0;0
22;305799811875.99915;1415082951.4893618;False;equal;1;2;0;0
23;296319772488.8766;505834.51848404255;False;equal;1;2;0;0
24;287800336186.3827;2352014.6252659573;False;equal;1;2;0;0
25;278975698930.32;15668308.510638298;False;equal;1;2;0;0
1;2919945667484.9336;15827.860860621675;False;decre;1;4;0;0
2;1459981406220.0833;14265.624239527926;False;decre;1;4;0;0
3;1141898222455.6775;429064174570.21277;False;decre;1;4;0;0
4;901893063866.4034;856356459001.4639;False;decre;1;4;0;0
5;802587789965.732;6785010.75319149;False;decre;1;4;0;0
6;723879223540.7013;658579.0566489361;False;decre;1;4;0;0
7;659686082886.0524;1379344.0041223404;False;decre;1;4;0;0
8;604940455697.8516;185234.58578789895;False;decre;1;4;0;0
9;571228893837.1274;156736.95792885637;False;decre;1;4;0;0
10;536499461639.82086;728214.3946143617;False;decre;1;4;0;0
11;508771716249.18933;168108.72604720746;False;decre;1;4;0;0
